a	8.17
b	1.49
c	2.78
d	4.25
e	12.70
f	2.23
g	2.02
h	6.09
i	6.97
j	0.15
k	0.77
l	4.03
m	2.41
n	6.75
o	7.51
p	1.93
q	0.10
r	5.99
s	6.33
t	9.06
u	2.76
v	0.98
w	2.36
x	0.15
y	1.97
z	0.07
A	11.60
B	4.70
C	3.51
D	2.67
E	2.01
F	3.78
G	1.95
H	7.23
I	6.29
J	0.60
K	0.59
L	2.71
M	4.38
N	2.37
O	6.26
P	2.55
Q	0.17
R	1.65
S	7.76
T	16.67
U	1.49
V	0.65
W	6.75
X	0.02
Y	1.62
Z	0.03
